what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335657545326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335657549367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335657553027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335657560365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335657608553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335657615236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335657675942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335657680776
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335657690360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335657724742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335657983172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335657988163
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335658008434
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335658008540
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335658008718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335658008853
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335658008990
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1335658009142
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335658020651
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335658057988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335658060895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335658066460
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335658081829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335658084453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335658088886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1335658090439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335658115958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335658121482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335658131379
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1335658134212
