what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1335579453417
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1335579455990
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1335579457468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579467952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579519371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579524842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579555092
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1335579558369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1335579562649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579563209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579611026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579612738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579613645
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1335579619465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579619920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579755088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579755930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579773207
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1335579774658
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579778069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579781812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1335579781998
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1335579803314
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335579806353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335579863099
