what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1335646677498
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1335646677500
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1335646677501
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1335646677505
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1335646677507
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1335646677510
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1335646677511
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1335646677513
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1335646677516
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1335646677519
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1335646677522
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1335646677524
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1335646677524
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1335646677526
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1335646677528
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1335646677531
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1335646677533
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1335646677534
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1335646677535
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1335646677537
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1335646677540
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1335646677541
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1335646677544
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1335646677545
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1335646677546
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1335646677549
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1335646677550
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1335646677552
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1335646677553
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1335646677555
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1335646677558
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1335646677559
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1335646677560
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1335646677563
started,bundle,com.android.ide.eclipse.ddms,15.0.0.v201110251216-213216,"com.android.ide.eclipse.ddms",1335646677564
os,sysinfo,,,"macosx",1335646677569
arch,sysinfo,,,"x86_64",1335646677569
ws,sysinfo,,,"cocoa",1335646677569
locale,sysinfo,,,"en_US",1335646677569
processors,sysinfo,,,"4",1335646677569
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335646677569
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-11M3635",1335646677569
java.specification.name,sysinfo,,,"Java Platform API Specification",1335646677569
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335646677569
java.specification.version,sysinfo,,,"1.6",1335646677569
java.vendor,sysinfo,,,"Apple Inc.",1335646677569
java.version,sysinfo,,,"1.6.0_31",1335646677569
java.vm.info,sysinfo,,,"mixed mode",1335646677569
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335646677569
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335646677569
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335646677569
java.vm.specification.version,sysinfo,,,"1.0",1335646677569
java.vm.vendor,sysinfo,,,"Apple Inc.",1335646677569
java.vm.version,sysinfo,,,"20.6-b01-415",1335646677569
